City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
233,Ipixuna,BR,80.08,overcast clouds,-1.7625,-48.8043,Chalé do Mato
234,San Patricio,US,88.18,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
237,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
239,Masaurhi,IN,82.29,clear sky,25.3509,85.0342,ganesh tea shops
241,Dhangadhi,NP,80.58,few clouds,28.7079,80.5961,Hotel Devotee
244,Romitan,UZ,76.95,overcast clouds,39.9343,64.3814,Hotel Temur
249,Cedar Hill,US,83.07,clear sky,32.5885,-96.9561,"Holiday Inn Express & Suites Dallas Southwest-Cedar Hill, an IHG Hotel"
251,Bolitoc,PH,80.49,light rain,15.7395,119.8769,Seasun Beach Resort & Hotel
258,Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
264,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
265,Hithadhoo,MV,85.8,heavy intensity rain,-0.6,73.0833,Scoop Guest House
269,Paungde,MM,88.07,clear sky,18.4833,95.5,Shwe Eain Matt highly cool guest house
272,San Ignacio,BZ,88.25,overcast clouds,17.1561,-89.0714,Rainforest Haven Inn
275,Bengkulu,ID,76.44,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
280,Gwadar,PK,83.26,clear sky,25.1216,62.3254,Sadaf Resort
285,Touros,BR,84.06,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
300,Port Keats,AU,76.64,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
305,Isangel,VU,78.96,overcast clouds,-19.55,169.2667,Tanna Lodge
307,Yenagoa,NG,82.0,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
309,Vila Velha,BR,85.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
314,Kotri,PK,89.49,broken clouds,25.366,68.3122,Drivers Running Room
319,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
326,Beira,MZ,78.89,few clouds,-19.8436,34.8389,Beira Terrace Hotel
328,Guayanilla,PR,84.9,light rain,18.0191,-66.7918,Costa Bahia Hotel & Convention Center
331,Gudari,IN,80.02,scattered clouds,19.35,83.7833,Hotel maa majhigouri
334,Umm Lajj,SA,79.03,clear sky,25.0213,37.2685,Moon light Furnished Units
336,Pemangkat,ID,79.79,scattered clouds,1.1667,108.9667,Ramah Kost KITA
342,Rajshahi,BD,80.58,overcast clouds,24.3667,88.6,Anjum Hotel International
346,Les Cayes,HT,80.51,overcast clouds,18.2,-73.75,Villa Orphee
349,Itaituba,BR,87.96,scattered clouds,-4.2761,-55.9836,Hotel Campos
352,Flic En Flac,MU,75.76,few clouds,-20.2742,57.3631,Hilton Mauritius Resort & Spa
357,Manokwari,ID,77.52,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
360,Alibag,IN,86.07,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
362,Cam Ranh,VN,78.76,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
363,Sorong,ID,79.59,broken clouds,-0.8833,131.25,Waigo Splash Hotel
371,La Asuncion,VE,87.53,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
372,Sola,VU,81.63,overcast clouds,-13.8833,167.55,Leumerus Bungalows
373,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Hotel Pigalle
385,Tuy Hoa,VN,77.68,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
387,Buala,SB,79.56,light rain,-8.145,159.5921,Maringe Lagoon Lodge
389,Sabinas,MX,82.47,overcast clouds,27.85,-101.1167,Hotel San Jose
395,Bubaque,GW,78.69,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
396,Lorengau,PG,81.16,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
398,Guanambi,BR,88.66,clear sky,-14.2233,-42.7814,Hotel Portal Guanambi
406,Imaculada,BR,84.99,scattered clouds,-7.3897,-37.5092,kasa de karolll
408,Samarai,PG,79.99,moderate rain,-10.6167,150.6667,Nuli Sapi
410,Cabo San Lucas,MX,83.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
411,Shush,IR,84.88,clear sky,32.1942,48.2436,Mosque Zaman (AS) Cultural promised -Kanvn
416,Pires Do Rio,BR,86.36,clear sky,-17.2997,-48.2794,Hotel Goiano - Pires do Rio
419,Kalmunai,LK,81.73,overcast clouds,7.4167,81.8167,VS Villa
420,Peringat,MY,76.98,light rain,6.0333,102.2833,Daseda Guest House
422,Puerto Narino,CO,81.37,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
423,Luanda,AO,80.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
426,Wanlaweyn,SO,80.76,overcast clouds,2.6185,44.8938,GAASHAAN HOME
431,Vao,NC,75.49,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
433,Sandakan,MY,80.28,few clouds,5.8402,118.1179,Hotel Sandakan
434,Mana,GF,83.19,broken clouds,5.6592,-53.7767,LE SAMANA
438,Luganville,VU,77.95,light rain,-15.5333,167.1667,The Espiritu Hotel
445,Buchanan,LR,82.8,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
447,Quatre Cocos,MU,75.31,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
449,Techiman,GH,88.43,overcast clouds,7.5862,-1.9414,KONTINENTAL LODGE
452,Minbu,MM,86.7,scattered clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
453,Nileshwar,IN,79.16,overcast clouds,12.25,75.1,Neeleshwar Hermitage
455,Las Vegas,US,80.24,clear sky,36.175,-115.1372,Plaza Hotel & Casino
458,Monte Patria,CL,75.42,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
459,Santiago,CL,75.29,clear sky,-33.4569,-70.6483,Hotel Panamericano
463,Tecoanapa,MX,86.72,broken clouds,16.5167,-98.75,Hotel Manglares
469,Matara,LK,79.16,light rain,5.9485,80.5353,Amaloh Boutique Resort
471,Kutum,SD,86.02,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
473,Fare,PF,80.73,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
474,Paracuru,BR,85.1,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
477,Basco,PH,78.85,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
485,Antalaha,MG,76.12,few clouds,-14.9003,50.2788,Hotel Vitasoa
487,Bastrop,US,78.71,clear sky,32.7562,-91.8724,Best Budget Inn
