City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
74,Santa Cruz De Tenerife,ES,28.4682,-16.2546,71.2,58,20,17.27,few clouds
75,Gondar,ET,12.6,37.4667,73.4,23,83,4.18,broken clouds
76,Yerbogachen,RU,61.2767,108.0108,21.06,93,53,3.53,broken clouds
77,Tasiilaq,GL,65.6145,-37.6368,32.16,61,96,10.76,overcast clouds
78,Olafsvik,IS,64.8945,-23.7142,39.24,58,67,16.93,broken clouds
79,Santiago De Cao,PE,-7.9589,-79.2392,66.33,82,100,9.22,overcast clouds
80,Saint George,US,37.1041,-113.5841,78.8,16,0,11.01,clear sky
81,Guiyang,CN,26.5833,106.7167,50.49,93,100,4.47,overcast clouds
82,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,80,0,14.97,clear sky
83,Qaanaaq,GL,77.484,-69.3632,13.23,68,19,3.8,few clouds
84,Talara,PE,-4.5772,-81.2719,79.56,57,0,18.41,clear sky
85,Svetlogorsk,BY,52.6333,29.7333,46.0,85,76,5.35,broken clouds
86,Luderitz,NA,-26.6481,15.1594,68.67,39,0,9.57,clear sky
87,Alyangula,AU,-13.8483,136.4192,69.67,100,50,0.0,scattered clouds
88,Lhokseumawe,ID,5.1801,97.1507,80.26,84,99,1.01,overcast clouds
89,Cidreira,BR,-30.1811,-50.2056,64.4,84,99,8.05,overcast clouds
90,East London,ZA,-33.0153,27.9116,61.74,72,0,8.05,clear sky
91,Rikitea,PF,-23.1203,-134.9692,76.48,72,35,6.15,scattered clouds
92,Klaksvik,FO,62.2266,-6.589,49.12,85,80,13.98,broken clouds
93,Okhtyrka,UA,50.3104,34.8988,45.99,78,55,7.0,broken clouds
94,Xining,CN,36.6167,101.7667,36.77,68,58,3.56,broken clouds
95,Zuhres,UA,48.0114,38.2644,49.26,61,56,9.75,broken clouds
96,Huarmey,PE,-10.0681,-78.1522,71.15,75,24,9.06,few clouds
97,Tvoroyri,FO,61.5556,-6.8111,46.99,88,61,18.34,broken clouds
98,Jamestown,US,42.097,-79.2353,53.71,89,100,14.97,moderate rain
99,Duku,NG,11.2361,4.9073,96.04,28,79,5.12,broken clouds
100,Surt,LY,31.2089,16.5887,67.08,76,0,27.6,clear sky
101,Huilong,CN,31.8111,121.655,56.93,82,100,10.63,overcast clouds
102,Cap Malheureux,MU,-19.9842,57.6142,75.47,81,6,1.99,clear sky
103,Avarua,CK,-21.2078,-159.775,71.65,100,100,1.14,overcast clouds
104,Catamarca,AR,-28.4696,-65.7852,69.78,43,18,1.99,few clouds
105,Kavarna,BG,43.4333,28.3333,51.58,72,6,7.65,clear sky
106,Bambanglipuro,ID,-7.95,110.2833,77.94,89,87,5.1,overcast clouds
107,Baykalovo,RU,57.3981,63.7684,41.68,79,100,10.96,overcast clouds
108,Butaritari,KI,3.0707,172.7902,80.87,79,95,11.86,light rain
109,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,65,0,16.11,clear sky
110,Bondo,CD,3.8146,23.6866,73.42,87,95,1.32,light rain
111,Chumikan,RU,54.7183,135.315,27.01,99,100,1.21,overcast clouds
112,Kapuskasing,CA,49.4169,-82.4331,62.69,16,75,20.71,broken clouds
113,Kontagora,NG,10.3999,5.4695,91.85,34,55,2.55,broken clouds
114,Brae,GB,60.3964,-1.353,47.62,84,81,10.09,broken clouds
115,Port Elizabeth,ZA,-33.918,25.5701,63.32,86,20,12.66,few clouds
116,Sobolevo,RU,54.4299,31.8996,43.97,73,97,4.03,overcast clouds
117,La Serena,CL,-29.9078,-71.2542,58.51,82,75,12.66,broken clouds
118,Weener,DE,53.1667,7.35,55.63,68,95,5.39,overcast clouds
119,Lashio,MM,22.9333,97.75,65.16,78,2,1.48,clear sky
120,Nioro,GM,13.35,-15.75,103.35,10,34,6.69,scattered clouds
121,Dikson,RU,73.5069,80.5464,9.09,99,64,10.78,broken clouds
122,Porto Santo,PT,33.072,-16.3415,68.38,73,20,13.8,few clouds
123,Tual,ID,-5.6667,132.75,83.19,74,80,8.43,broken clouds
124,Bensonville,LR,6.4461,-10.6125,83.12,75,99,5.57,overcast clouds
125,Oktyabrskiy,RU,54.4815,53.471,35.91,61,56,4.76,broken clouds
126,Muros,ES,42.7762,-9.0603,64.09,57,7,13.98,clear sky
127,Suntar,RU,62.1444,117.6319,24.93,81,100,12.68,overcast clouds
128,San Jorge,AR,-31.8962,-61.8598,71.01,29,0,9.1,clear sky
129,Hofn,IS,64.2539,-15.2082,38.88,86,59,12.84,broken clouds
130,Saint-Joseph,RE,-21.3667,55.6167,75.58,81,25,4.0,scattered clouds
131,Ponta Do Sol,PT,32.6667,-17.1,74.71,66,0,2.77,clear sky
132,Kaitangata,NZ,-46.2817,169.8464,48.43,94,21,4.52,few clouds
133,Kawalu,ID,-7.3817,108.2082,73.04,97,100,0.67,overcast clouds
134,Teluk Nibung,ID,3.001,99.8164,76.82,91,99,3.02,overcast clouds
135,Sao Filipe,CV,14.8961,-24.4956,75.65,70,0,9.37,clear sky
136,Mount Gambier,AU,-37.8333,140.7667,58.91,94,100,9.22,overcast clouds
137,Igarka,RU,67.4667,86.5833,21.38,98,100,3.49,overcast clouds
138,Kavieng,PG,-2.5744,150.7967,81.61,77,9,5.12,clear sky
139,Esperance,AU,-33.8667,121.9,55.24,67,0,4.52,clear sky
140,Khatanga,RU,71.9667,102.5,16.36,94,98,11.36,overcast clouds
141,Bathsheba,BB,13.2167,-59.5167,86.61,70,20,18.41,few clouds
142,Yankton,US,42.8711,-97.3973,46.11,76,100,20.71,overcast clouds
143,Shingu,JP,33.7333,135.9833,48.96,80,100,7.18,overcast clouds
144,Karratha,AU,-20.7377,116.8463,82.02,48,98,9.15,overcast clouds
145,Summerside,CA,46.3959,-63.7876,37.11,93,100,20.71,light rain
146,Kloulklubed,PW,7.0419,134.2556,75.7,80,68,10.29,broken clouds
147,Gold Coast,AU,-28.0,153.4333,66.99,92,40,10.36,scattered clouds
148,Puerto Escondido,MX,15.85,-97.0667,86.83,70,75,9.22,broken clouds
149,Melville,US,40.7934,-73.4151,68.95,43,0,10.36,clear sky
150,Barrow,US,71.2906,-156.7887,21.22,86,100,13.8,overcast clouds
151,Waitara,NZ,-38.925,174.25,63.5,87,73,7.96,broken clouds
152,Praia Da Vitoria,PT,38.7333,-27.0667,66.45,82,75,2.82,broken clouds
153,Mount Isa,AU,-20.7333,139.5,71.37,64,82,10.36,broken clouds
154,Lebu,CL,-37.6167,-73.65,55.06,77,100,15.12,overcast clouds
155,Celestun,MX,20.8667,-90.4,87.55,58,11,8.57,few clouds
156,Dingle,PH,10.9995,122.6711,76.59,84,88,6.11,overcast clouds
157,Urumqi,CN,43.801,87.6005,72.55,12,0,26.84,clear sky
158,Tommot,RU,58.9564,126.2925,30.6,88,100,3.71,overcast clouds
159,Hasaki,JP,35.7333,140.8333,52.29,76,100,20.0,overcast clouds
160,Kavaratti,IN,10.5669,72.642,84.81,71,30,10.83,scattered clouds
161,Mahebourg,MU,-20.4081,57.7,75.49,88,75,3.44,broken clouds
162,Jiuquan,CN,39.7432,98.5174,48.99,19,0,7.14,clear sky
163,Ayagoz,KZ,47.9714,80.4392,62.56,26,88,4.43,overcast clouds
164,Sorland,NO,67.667,12.6934,42.66,92,100,27.72,light rain
165,Sumbe,AO,-11.2061,13.8437,77.9,87,36,6.24,scattered clouds
166,Norman Wells,CA,65.282,-126.8329,44.64,49,40,19.57,scattered clouds
167,Pevek,RU,69.7008,170.3133,-1.66,89,52,5.37,broken clouds
168,Nuuk,GL,64.1835,-51.7216,30.81,55,20,11.5,few clouds
169,San Miguel,SV,13.4833,-88.1833,91.06,62,40,3.44,scattered clouds
170,Pojorata,RO,47.5167,25.45,50.92,85,97,2.13,overcast clouds
171,Mizan Teferi,ET,6.9833,35.5833,62.2,97,97,2.59,light rain
172,Kruisfontein,ZA,-34.0033,24.7314,58.89,92,2,4.12,clear sky
173,Blythe,US,33.6103,-114.5964,86.04,14,0,4.61,clear sky
174,Hilo,US,19.7297,-155.09,74.28,100,100,10.36,mist
175,Ilulissat,GL,69.2167,-51.1,24.82,46,0,4.61,clear sky
176,Pisco,PE,-13.7,-76.2167,69.03,77,0,8.05,clear sky
177,Changqing,CN,36.5575,116.7272,57.97,29,4,2.8,clear sky
178,Cayenne,GF,4.9333,-52.3333,86.04,42,75,13.8,broken clouds
179,San Policarpo,PH,12.1791,125.5072,79.93,83,92,6.46,overcast clouds
180,Nhamunda,BR,-2.1861,-56.7131,85.37,70,23,4.45,few clouds
181,Ewa Beach,US,21.3156,-158.0072,75.15,74,40,8.05,light rain
182,Sioux Lookout,CA,50.1001,-91.917,39.27,93,100,6.91,overcast clouds
183,Kolokani,ML,13.5728,-8.0339,98.78,21,45,10.96,scattered clouds
184,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,75,3.44,broken clouds
185,Leningradskiy,RU,69.3833,178.4167,3.7,81,69,5.95,broken clouds
186,Okhotsk,RU,59.3833,143.3,31.82,90,40,3.22,scattered clouds
187,Nome,US,64.5011,-165.4064,37.47,70,0,19.57,clear sky
188,Maragogi,BR,-9.0122,-35.2225,80.33,81,47,10.83,scattered clouds
189,Krasnokholm,RU,51.5979,54.1567,43.88,54,42,10.29,scattered clouds
190,Invermere,CA,50.5167,-116.0354,50.41,65,100,1.77,overcast clouds
191,Port Macquarie,AU,-31.4333,152.9167,58.89,100,79,0.0,broken clouds
192,Mantua,IT,45.1667,10.7833,63.55,71,59,10.0,moderate rain
193,Souillac,MU,-20.5167,57.5167,75.58,88,75,3.44,broken clouds
194,Buraydah,SA,26.326,43.975,86.45,13,0,12.01,clear sky
195,Northam,GB,51.0333,-4.2167,50.61,94,100,3.85,overcast clouds
196,Pushkar,IN,26.5,74.55,93.27,18,3,18.9,clear sky
197,Bilbor,RO,47.05,25.5167,48.47,84,94,3.06,overcast clouds
198,Werda,BW,-25.2667,23.2833,67.73,33,0,8.95,clear sky
199,Kahului,US,20.8947,-156.47,75.85,83,40,13.8,scattered clouds
200,Rocha,UY,-34.4833,-54.3333,61.48,54,3,13.13,clear sky
201,Hambantota,LK,6.1241,81.1185,81.84,81,100,16.15,overcast clouds
202,Cape Canaveral,US,28.4058,-80.6048,86.07,68,40,10.36,scattered clouds
203,Puerto Ayora,EC,-0.7393,-90.3518,80.56,81,65,8.32,broken clouds
204,Huicungo,PE,-7.2833,-76.8,88.11,48,33,3.69,scattered clouds
205,Constitucion,CL,-35.3333,-72.4167,59.14,58,5,14.2,clear sky
206,San Cristobal,VE,7.7669,-72.225,86.18,53,98,8.1,overcast clouds
207,Jacareacanga,BR,-6.2222,-57.7528,88.18,58,18,4.47,few clouds
208,Ahipara,NZ,-35.1667,173.1667,59.95,88,99,6.69,overcast clouds
209,Vostok,RU,46.4856,135.8833,27.86,88,99,2.71,overcast clouds
210,Lavrentiya,RU,65.5833,-171.0,14.25,88,46,10.27,scattered clouds
211,Nemuro,JP,43.3236,145.575,40.77,95,100,21.18,light rain
212,Agirish,RU,61.9247,63.0231,28.11,94,100,12.71,light snow
213,Auki,SB,-8.7676,160.7034,77.0,90,100,4.61,overcast clouds
214,Faanui,PF,-16.4833,-151.75,80.6,74,22,11.81,few clouds
215,Tres Barras,BR,-26.1064,-50.3222,69.69,87,60,4.68,broken clouds
216,Perbaungan,ID,3.5679,98.956,77.11,89,99,2.84,overcast clouds
217,Parrita,CR,9.5201,-84.3225,84.52,73,99,6.24,overcast clouds
218,Caravelas,BR,-17.7125,-39.2481,82.0,61,0,7.85,clear sky
219,Airai,TL,-8.9266,125.4092,58.75,88,56,3.4,broken clouds
220,Lata,PT,40.1629,-8.3327,60.08,68,24,11.12,few clouds
221,Yuncheng,CN,35.0231,110.9928,55.47,31,0,5.39,clear sky
222,Nouakchott,MR,18.0858,-15.9785,78.73,68,0,13.8,clear sky
223,Lukovetskiy,RU,64.2956,41.9211,25.18,97,60,3.65,broken clouds
224,Ilebo,CD,-4.3167,20.5833,71.74,96,76,0.98,broken clouds
225,Victoria,HK,22.2855,114.1577,65.25,93,100,5.99,light rain
226,Jerome,US,42.7241,-114.5186,43.63,96,100,12.66,light rain
227,Camacha,PT,33.0833,-16.3333,65.62,73,20,13.8,few clouds
228,Te Anau,NZ,-45.4167,167.7167,47.16,92,46,2.21,scattered clouds
229,Khandyga,RU,62.6667,135.6,28.89,93,100,4.94,overcast clouds
230,Longyearbyen,SJ,78.2186,15.6401,15.64,62,75,5.75,broken clouds
